ACTIVITY,DATE,TIME,LOCATION,DISTANCE,CALORIES,OVERALL,AVG_HR,MAX_HR,AVG_CADENCE,MAX_CADENCE,AVG_PACEMIN,BEST_PACEMIN,ELEV_GAIN,ELEV_LOSS,STRIDE,CONSUMED
Running,11/8/19,16:25,H,2.06,188,17.75,150,172,176,190,8.62,6.45,23,36,1.06,1585
Running,11/9/19,6:20,H,4.02,399,35.5,157,178,181,195,8.83,6.32,30,62,1.01,1429
Running,11/10/19,6:50,H,10.89,1112,100.05,160,189,176,208,9.18,6.6,535,640,0.99,1476
Running,11/11/19,6:44,H,2.52,237,28.12,127,159,149,238,11.17,7.97,7,30,0.97,1601
Running,11/12/19,16:18,H,5.07,499,44.5,158,170,175,212,8.78,7.3,325,69,1.05,1581
Running,11/13/19,16:45,H,4.01,402,37.57,151,163,168,207,9.38,7.48,131,151,1.02,1460
Running,11/14/19,16:54,H,2.01,183,17.3,146,166,183,231,8.6,7.67,325,26,1.02,1494
Running,11/15/19,16:37,H,3.31,321,30.03,149,180,178,188,9.07,8.32,325,36,0.99,1307
Running,11/16/19,8:05,H,4.18,441,37.78,161,173,179,193,9.03,8,325,49,0.99,913
Running,11/17/19,7:22,H,4.35,449,40.07,159,174,174,194,9.22,8.03,23,92,1,1468
Running,11/18/19,16:27,H,5.02,508,45.27,157,175,175,190,9.02,7.92,23,112,1.02,1180
Running,11/19/19,18:43,C,3.45,248,29.25,130,157,173,230,8.47,5.7,13,16,1.09,1529
Running,11/21/19,5:42,H,4.74,478,42.63,158,174,177,196,8.98,7.27,1201,1299,1.01,1515
Running,11/22/19,16:15,H,2.04,196,17.28,158,175,184,198,8.48,7.53,325,16,1.03,1348
Running,11/23/19,6:38,H,4.01,392,35.32,155,186,182,196,8.8,7.82,36,125,1,1609
Running,11/24/19,6:46,C,10.81,1039,100.38,152,172,173,192,9.28,7.97,177,223,1,1371
Running,11/25/19,7:01,C,4.02,402,35.3,156,167,181,195,8.78,8.07,13,56,1.01,1775
Running,11/26/19,6:44,H,4.01,399,35.78,153,176,180,202,8.93,7.18,30,69,1.01,1410
Running,11/27/19,17:19,C,2.12,201,18.95,145,163,181,190,8.95,8.35,347,13,0.99,1537
Running,11/28/19,6:14,C,5.03,508,45.87,151,172,180,190,9.12,8.43,62,125,0.98,1543
Running,11/29/19,6:56,H,3.01,309,27.13,154,167,181,200,9.03,7.55,30,72,0.99,1320
Running,11/30/19,6:44,H,3.03,327,27.52,161,179,179,243,9.08,8.33,325,69,0.99,1539
Running,12/1/19,6:57,C,8.32,816,75.23,152,161,180,195,9.05,7.1,46,82,0.99,1676
Running,12/2/19,16:24,H,4.01,407,35.67,154,171,178,198,8.9,5.98,36,72,1.02,1427
Running,12/3/19,16:27,H,4.05,400,36.62,150,167,177,197,9.03,6.7,7,52,1.01,1516
Running,12/4/19,16:43,H,5.01,505,45.1,157,171,174,193,9.02,6.97,49,79,1.03,1595
Running,12/5/19,16:43,H,3.03,307,26.43,162,173,177,202,8.72,7.12,16,13,1.04,1447
Running,12/7/19,8:05,H,4.26,444,38.22,165,179,178,186,8.97,8.55,72,66,1.01,1629
Running,12/8/19,7:09,H,11.03,1070,100.07,159,178,175,192,9.07,7.85,768,804,1.01,1336
Running,12/9/19,5:41,C,2.44,222,22.07,145,162,180,190,9.03,8.45,23,13,0.99,1558
Running,12/10/19,18:42,C,3.54,269,26.5,151,174,182,212,7.48,6.72,7,347,1.18,1251
Running,12/11/19,17:16,C,5,489,44.47,156,167,180,188,8.88,7.28,30,30,1.01,1451
Running,12/12/19,16:33,C,4.01,401,35.02,157,176,178,199,8.73,7.18,13,13,1.02,1669
Running,12/13/19,16:23,C,1.25,115,10.33,153,168,185,192,8.27,7.92,347,7,1.05,1661
Running,12/14/19,8:17,H,4.01,392,35.68,154,178,178,195,8.9,7.18,66,108,1.01,1820
Running,12/15/19,7:32,H,8.69,844,80.4,152,170,174,246,9.25,7.45,118,128,1,1433
Running,12/16/19,16:42,H,2.55,252,23.4,148,164,178,190,9.2,2.6,16,7,0.98,1526
Running,12/17/19,17:36,C,3.08,294,27.47,148,164,181,193,8.9,7.73,347,13,1,1517
Running,12/18/19,16:27,H,5.06,503,45.22,153,165,178,200,8.93,7.6,23,95,1.01,1543
Running,12/19/19,16:29,H,4.04,392,35.35,153,173,175,208,8.77,6.2,39,59,1.05,1423
Running,12/21/19,6:11,C,4.11,408,36.67,153,172,179,191,8.92,7.17,13,43,1.01,1688
Running,12/22/19,7:24,C,11.78,1185,105.15,158,172,178,199,8.93,7.58,69,131,1.01,1804
Running,12/23/19,7:40,H,1.65,170,15.77,148,162,178,186,9.57,8.78,20,13,0.94,1521
Running,12/24/19,6:25,H,5.06,465,45.17,145,171,178,199,8.93,6.83,36,98,1.01,1778
Running,12/25/19,7:01,C,5.01,465,43.95,148,171,178,190,8.78,7.57,23,105,1.03,1877
Running,12/26/19,6:56,H,3.01,304,28.07,149,164,180,195,9.33,7.7,325,56,0.96,1318
Running,12/27/19,7:09,H,10.38,1047,95.22,155,174,176,206,9.17,5.98,49,151,0.99,1862
Running,12/28/19,8:03,H,4.27,434,39.6,150,163,177,186,9.27,8.5,30,26,0.98,1417
Running,12/29/19,7:01,C,3.01,302,25.88,160,174,182,192,8.6,7.85,347,26,1.03,1642
Running,1/1/20,15:50,C,2.5,244,21.55,158,170,181,191,8.62,8.03,13,13,1.03,1486
Running,1/2/20,7:41,H,3.01,291,26.88,152,169,181,193,8.93,6.63,325,69,1,1575
Running,1/3/20,7:00,H,3.05,302,27.33,155,174,181,209,8.95,6.77,7,59,0.99,1635
Running,1/4/20,6:31,H,6.25,633,55.12,162,181,180,189,8.82,8.12,1549,1516,1.01,1631
Running,1/5/20,7:29,H,6.08,578,52.92,157,171,180,246,8.7,7.77,463,561,1.03,1644
Running,1/6/20,16:21,H,4.01,384,35.7,154,174,178,194,8.9,7.67,210,289,1.01,1683
Running,1/7/20,18:50,C,2.4,222,20.25,156,173,179,186,8.43,8.05,13,20,1.06,1555
Running,1/8/20,16:32,H,5.03,489,45.03,157,176,176,190,8.95,8.12,436,469,1.02,1514
Running,1/9/20,17:50,C,3.11,306,28.62,155,167,180,188,9.2,8.15,449,482,0.97,1566
Running,1/10/20,18:33,H,2.01,201,19,154,164,178,184,9.47,8.55,7,13,0.95,1321
Running,1/11/20,8:06,H,4.28,423,39,155,174,179,193,9.12,8.38,23,33,0.99,1729
Running,1/12/20,8:01,H,11.79,1134,110.1,155,171,176,190,9.33,8.15,2615,2592,0.98,1589
Running,1/13/20,16:23,H,3.01,290,28.07,149,163,180,189,9.33,8.48,187,207,0.96,1592
Running,1/14/20,18:49,C,4.29,410,35.72,163,179,176,218,8.33,5.17,715,699,1.1,1748
Running,1/15/20,16:24,H,5.01,495,45.75,156,172,177,187,9.12,6.77,82,105,1,1539
Running,1/16/20,16:17,H,3.22,315,28.78,158,168,175,191,8.93,7.43,23,39,1.03,1547
Running,1/18/20,7:15,H,4.1,413,38.03,157,182,178,197,9.28,6.17,46,105,0.97,1586
Running,1/19/20,7:15,H,2.03,189,19.03,146,156,178,188,9.38,1.63,98,79,0.96,1667
Running,1/20/20,6:49,C,9.03,863,82.55,152,165,175,190,9.15,7.18,1890,1965,1,1797
Running,1/21/20,16:44,C,4.04,390,36.25,154,168,177,194,8.97,7.85,413,440,1.02,1660
Running,1/22/20,16:34,H,4.02,389,36.68,152,167,176,186,9.13,7.93,472,446,1,1546
Running,1/23/20,16:23,C,5.04,484,45.07,156,170,178,189,8.95,7.75,719,712,1.01,1743
Running,1/24/20,5:34,H,2.02,205,18.5,157,167,180,187,9.15,8.32,20,16,0.98,1926
Running,1/25/20,7:45,C,2.01,185,18,151,164,180,187,8.97,8.15,226,440,1,1079
Running,1/26/20,7:26,H,12.32,1173,115.03,156,172,173,249,9.33,7.45,1289,1302,0.99,1253
Running,1/27/20,16:24,H,3.06,250,27.45,139,167,177,188,8.98,7.48,13,13,1.01,1662
Running,1/28/20,18:43,C,2.34,215,20.02,153,162,177,189,8.57,7.73,347,23,1.06,1803
Running,1/29/20,16:48,H,3.01,300,27.43,152,167,177,186,9.1,8.23,125,167,1,1376
Running,1/30/20,16:18,H,3.53,365,31.78,163,173,179,190,9.02,8.17,367,364,1,1691
Running,1/31/20,6:19,H,4,404,35.45,164,179,179,187,8.85,6.27,105,167,1.02,1607
Running,2/2/20,7:57,H,13.18,1387,118.33,169,184,178,196,8.97,7.43,1355,1358,1.01,1656
Running,2/3/20,17:06,C,2.11,185,19.05,145,167,180,191,9.05,8.17,46,66,0.99,1640
Running,2/4/20,18:53,C,3.25,311,26.5,166,177,181,215,8.13,5.8,220,230,1.09,1630
Running,2/6/20,5:40,H,3.02,309,27.95,160,186,177,191,9.25,7.88,174,138,0.98,1531
Running,2/7/20,16:19,H,2.16,195,20.08,145,170,180,193,9.3,8.18,62,102,0.96,1701
Running,2/8/20,6:36,H,6.01,584,54.22,158,178,180,188,9.03,7.5,1102,1358,0.99,1661
Running,2/9/20,7:12,H,4.01,385,36.12,156,174,179,191,9.02,8.17,453,561,1,1560
Running,2/10/20,16:36,H,3.18,322,28.85,163,186,175,188,9.07,7.75,778,994,1.01,1526
Running,2/12/20,16:49,H,3,289,27.25,156,169,179,188,9.07,7.58,56,69,0.99,1617
Running,2/13/20,16:42,H,3.52,326,31.72,152,168,177,186,9.02,7.92,66,102,1.01,1459
Running,2/14/20,16:38,H,3.4,343,30.93,162,176,179,190,9.1,7.42,13,7,0.99,1381
Running,2/16/20,7:45,C,5.49,541,49.47,160,181,175,190,9,8.12,52,33,1.02,1493
Running,2/17/20,9:20,H,4.37,421,40.2,156,173,179,188,9.2,8.45,328,433,0.98,1332
Running,2/18/20,18:40,C,4.46,369,38.45,147,178,171,226,8.62,5.57,171,279,1.09,1791
Running,2/19/20,15:04,C,5.01,485,45.53,156,175,179,197,9.08,7.82,72,66,0.99,1576
Running,2/20/20,16:38,H,4.02,373,36.65,150,165,178,192,9.12,7.68,276,381,0.99,1584
Running,2/21/20,16:44,H,2.05,191,18.52,150,168,178,187,9.03,7.67,13,20,1,1530
Running,2/22/20,6:58,C,4.01,396,36.13,156,165,181,190,9.02,7.77,20,118,0.99,1699
Running,2/23/20,5:59,H,10.74,1033,100.17,153,171,175,192,9.32,7.3,210,220,0.99,1562
Running,2/24/20,16:59,H,2.16,207,20.08,148,162,176,186,9.3,8,30,89,0.98,1679
Running,2/25/20,5:31,H,4,406,36.18,157,172,180,198,9.05,7.37,56,46,0.98,1857
Running,2/26/20,5:35,H,6.01,601,53.57,160,182,177,216,8.9,6.08,331,289,1.02,1598
Running,2/27/20,16:25,C,4.62,460,40.58,161,169,179,192,8.78,7.68,39,85,1.03,1549
Running,2/28/20,16:20,H,2.22,217,20.18,153,163,179,188,9.08,8.5,13,16,0.99,1634
Running,2/29/20,5:46,H,4.05,397,37,152,165,182,190,9.13,8.15,459,417,0.97,1598
Running,3/1/20,7:37,H,12.33,1192,115.08,155,177,176,250,9.33,7.53,771,840,0.98,1638
Running,3/2/20,16:48,H,3.01,296,28,153,165,178,188,9.28,7.97,79,85,0.97,1416
Running,3/3/20,18:44,C,2.43,211,20,155,165,181,198,8.23,7.78,30,59,1.08,1665
Running,3/4/20,15:51,H,4.01,396,37.05,155,168,180,189,9.25,7.82,348,417,0.97,1589
Running,3/5/20,17:07,H,6.01,596,53.97,160,172,178,190,8.98,7.88,453,479,1.01,1636
Running,3/6/20,16:25,H,1.53,135,13.98,145,164,181,190,9.13,8.4,505,574,0.98,1479
Running,3/7/20,8:09,H,4.29,424,37.3,165,180,183,194,8.7,7.6,853,1017,1.01,1778
Running,3/8/20,7:44,C,10.05,987,91.22,160,175,179,194,9.08,7.48,1588,1670,0.99,1473
Running,3/10/20,17:25,C,2.91,300,25.45,170,182,179,199,8.75,7.92,36,30,1.02,1410
Running,3/11/20,17:08,H,7.01,692,63.85,160,180,176,190,9.1,2.08,148,161,1,1753
Running,3/12/20,17:05,H,5.01,488,45.57,158,170,179,190,9.1,7.83,617,633,0.99,1515
Running,3/13/20,16:20,H,3.01,294,28.18,154,164,178,187,9.37,8.43,30,30,0.97,1673
Running,3/14/20,7:22,H,4.06,392,36.78,156,167,181,192,9.07,8.33,427,397,0.98,1296
Running,3/15/20,6:07,H,14.63,1399,140.12,155,171,173,194,9.58,7.93,1850,1883,0.97,1331
Running,3/17/20,18:41,C,4.75,498,45.17,160,177,157,215,9.5,5.97,56,46,1.08,995
Running,3/18/20,16:54,H,7.01,734,68.68,159,170,170,249,9.8,7.45,489,463,0.96,1715
Running,3/19/20,17:21,C,5.01,496,44.38,161,179,178,190,8.87,7.93,653,758,1.02,1637
Running,3/23/20,7:13,H,4.01,394,36.63,156,175,180,190,9.13,8.28,292,269,0.98,1679
Running,3/24/20,16:56,C,4.01,386,35.38,158,178,181,192,8.83,7.85,92,230,1.01,1344
Running,3/25/20,6:33,H,7.01,704,64.23,161,172,177,189,9.17,7.98,1194,1240,0.99,1421
Running,3/26/20,6:44,H,4.01,373,36.03,153,172,180,191,8.98,8.1,348,371,1,1878
Running,3/27/20,6:57,C,3.14,298,27.8,159,169,180,189,8.85,8.23,75,253,1.01,1617
Running,3/28/20,6:20,C,4.01,367,35.67,155,173,180,193,8.9,7.85,725,745,1,1839
Running,3/29/20,7:21,H,15,1415,142.93,155,192,172,187,9.53,8.05,863,1004,0.98,1813
Running,3/30/20,16:21,H,2.02,191,18.93,148,164,176,185,9.38,8.28,23,30,0.97,1412
Running,3/31/20,16:59,H,4.04,409,35.95,166,183,176,189,8.9,7.98,791,846,1.02,1418
Running,4/1/20,16:24,H,3.03,296,28.05,159,171,175,188,9.27,8.27,305,351,0.99,1486
Running,4/2/20,16:49,H,6.01,564,53.52,160,177,176,189,8.9,8.23,515,627,1.02,2030
Running,4/4/20,6:51,C,4.01,376,35.97,159,175,180,190,8.97,7.93,30,72,1,1646
Running,4/5/20,7:57,H,10.27,957,96.7,155,169,176,193,9.42,7.33,1745,1929,0.97,1664
Running,4/6/20,17:15,H,2.03,188,18.58,153,163,177,195,9.17,8.35,10,39,0.99,1438
Running,4/7/20,5:43,H,4.01,378,36.97,153,175,180,190,9.22,8.68,404,597,0.97,1660
Running,4/9/20,16:19,H,6.01,580,56.48,155,171,175,187,9.38,7.5,2743,2756,0.98,1798
Running,4/11/20,6:00,H,4.01,389,37.08,157,175,180,189,9.23,8.32,52,79,0.97,1613
Running,4/12/20,6:56,C,11,1031,100.98,156,182,176,188,9.18,8.18,968,1033,1,1875
Running,4/13/20,8:10,H,3.01,280,27.08,154,169,177,185,9,8.15,59,66,1.01,1505
Running,4/14/20,7:26,H,6.01,607,54.28,165,195,179,189,9.03,6.62,230,535,0.99,1586
Running,4/15/20,7:22,C,5.04,453,44.77,151,167,180,189,8.88,7.45,138,486,1,1488
Running,4/16/20,6:43,C,4.01,371,35.95,154,163,179,187,8.97,8.27,23,246,1,1408
Running,4/17/20,6:55,H,2.01,182,18.92,143,160,177,188,9.42,8.5,33,144,0.96,1409
Running,4/18/20,7:11,C,4.02,380,36.53,153,169,176,197,9.1,7.33,347,302,1.01,1612
Running,4/19/20,7:30,H,10.01,915,91.88,153,171,176,189,9.18,7.7,180,197,1,1597
Running,4/20/20,17:07,H,2.04,194,18.78,152,163,173,180,9.18,8.45,56,200,1.01,1161
Running,4/22/20,5:28,H,4.01,377,35.85,156,171,178,187,8.95,8.22,262,394,1.01,1470
Running,4/23/20,16:29,C,6.01,611,54.27,165,192,173,187,9.03,7.82,46,16,1.03,1495
Running,4/25/20,7:34,H,4.01,371,35.73,154,178,179,188,8.9,7.98,36,374,1.01,1701
Running,4/26/20,7:07,H,10.01,917,92.62,152,173,174,243,9.25,7.98,853,883,1,1626
Running,4/27/20,17:26,H,2.2,215,20.12,156,165,176,184,9.13,8.38,16,102,1,1431
Running,4/28/20,17:44,C,5.01,480,43.47,162,186,178,249,8.68,7.92,102,302,1.04,1479
Running,4/30/20,16:34,H,4,410,37.22,163,191,174,187,9.3,8.03,1148,1171,1,1547
Running,5/1/20,5:35,H,3.01,282,27.83,154,177,173,187,9.27,8.17,141,157,1,1658
Running,5/2/20,6:02,C,4.01,368,35.78,155,170,176,184,8.92,8.15,436,633,1.02,1633